file_url,platform_link,Handelsadato,ISIN,Verdipapirnavn,Antall,Kurs,Handelsbeløp,Kilder
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-204.jpeg?expires=1696629224&or=0&s=bb1de7cbb76a8054189fc5c45377c2d6,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b671a-6469-11ee-82dc-129b4cad2a96,14.12.2020,NO0010896632,BULL STOREBRAND X3 NORDNET N1,−55,"168,75",−9281,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-208.jpeg?expires=1696629224&or=0&s=6b7167a7c752c44c9f0ddd33951b3388,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6732-6469-11ee-82e0-129b4cad2a96,14.12.2020,NO0010904923,HEXAGON PURUS,289,"34,00",9826,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-75.jpeg?expires=1696629224&or=0&s=967352d2383a50c5f7e83d2e7ba240ad,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b62b9-6469-11ee-825b-129b4cad2a96,14.12.2020,NO0010187032,MAGNORA,−2000,"27,00",−54000,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,15.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"31,00",−6200,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,15.12.2020,NO0010882996,BULL DAX X155 NORDNET N2,−200,"29,42",−5884,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-198.jpeg?expires=1696629224&or=0&s=80d123bea808aeffc49b3619e8c2f81c,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b66fc-6469-11ee-82d6-129b4cad2a96,15.12.2020,NO0010882996,BULL DAX X15S NORDNET N2,−200,"29,94",−5988,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,15.12.2020,NO0010792203,BULL OBX X5 NORDNET,80,"74,13",5930,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,15.12.2020,NO0010792203,BULL OBX X5 NORDNET,80,"73,82",5906,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-149.jpeg?expires=1696629224&or=0&s=86530d3dd5ad80c4a3526d99a0116aff,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6604-6469-11ee-82a5-129b4cad2a96,15.12.2020,NO0010792203,BULL OBX X5 NORDNET,80,"74,04",5923,Nordnet
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,15.12.2020,NO0003067902,HEXAGON COMPOSITES,1500,"54,70",82050,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-29.jpeg?expires=1696629224&or=0&s=f11d14870f04fcac4207ee3093737ee3,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b60f0-6469-11ee-822d-129b4cad2a96,15.12.2020,NO0003067902,HEXAGON COMPOSITES,1500,"52,50",78750,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-99.jpeg?expires=1696629224&or=0&s=d4a7096d212220ef985d6806c5e6a6e7,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6339-6469-11ee-8273-129b4cad2a96,15.12.2020,NO0010597883,THOR MEDICAL,−4000,"15,20",−60800,DnB
https://nnts.imgix.net/uploadedfiles/a080c21c-ead2-43a1-8778-6d7270a70e9b/PredictionImages/1d31d3f3-1f70-4881-b789-65f08d5869dc-99.jpeg?expires=1696629224&or=0&s=d4a7096d212220ef985d6806c5e6a6e7,https://app.nanonets.com/#/ocr/test/a080c21c-ead2-43a1-8778-6d7270a70e9b/b23b6339-6469-11ee-8273-129b4cad2a96,15.12.2020,NO0010597883,THOR MEDICAL,−5000,"15,50",−77500,DnB
